Skill,Hobby/Interests,Suggested Career,Relevance Score,Salary Range,Career Roadmap
Programming,Gaming,Game Developer,95,$60k-$150k,1. Learn game programming 2. Master Unity/Unreal 3. Build game portfolio 4. Join indie studio/AAA company 5. Senior game developer
Programming,Sports,Sports Analytics Developer,92,$70k-$140k,1. Learn data analysis 2. Sports statistics 3. Build analytics tools 4. Join sports tech company 5. Lead sports tech developer
Programming,Fitness,Fitness App Developer,90,$65k-$130k,1. Mobile development 2. Health APIs 3. UX/UI for fitness 4. Launch fitness app 5. Scale health tech platform
Programming,Music,Audio Software Developer,91,$70k-$160k,1. Audio programming 2. DSP knowledge 3. Build audio tools 4. Join music tech company 5. Senior audio developer
Programming,Writing,Technical Writer,88,$60k-$120k,1. Documentation skills 2. API knowledge 3. Technical blogs 4. Developer advocacy 5. Lead technical content
Programming,Cooking,Food Tech Developer,87,$65k-$135k,1. App development 2. Recipe APIs 3. Food tech platforms 4. Join food tech startup 5. Lead food tech developer
Programming,Art,Digital Art Tool Developer,89,$70k-$145k,1. Graphics programming 2. Digital art tools 3. Portfolio 4. Join creative tech company 5. Lead creative developer
Web Development,Design,Frontend Developer,94,$65k-$140k,1. HTML/CSS/JS 2. UI frameworks 3. Build portfolio 4. Join tech company 5. Senior frontend developer
Web Development,Blogging,CMS Developer,89,$60k-$130k,1. CMS platforms 2. Web architecture 3. Content systems 4. Join media company 5. Lead CMS architect
Web Development,E-commerce,E-commerce Developer,93,$70k-$145k,1. E-commerce platforms 2. Payment systems 3. User experience 4. Join retail tech company 5. Lead e-commerce architect
Web Development,Education,EdTech Developer,92,$65k-$135k,1. Learning platforms 2. Interactive tools 3. Education tech 4. Join edtech company 5. Senior edtech developer
Data Science,Research,Research Scientist,96,$90k-$200k,1. Statistics/ML 2. Research methods 3. Publications 4. Research lab 5. Lead scientist
Data Science,Sports,Sports Data Scientist,93,$85k-$180k,1. Sports analytics 2. ML models 3. Team projects 4. Sports organization 5. Head of sports analytics
Data Science,Finance,Quantitative Analyst,95,$100k-$250k,1. Financial models 2. Algorithm trading 3. Risk analysis 4. Investment firm 5. Senior quant
Data Science,Healthcare,Healthcare Data Scientist,94,$85k-$190k,1. Medical data analysis 2. Health outcomes 3. Patient insights 4. Healthcare organization 5. Lead health data scientist
Data Science,Gaming,Game Analytics Specialist,91,$80k-$170k,1. Player behavior analysis 2. Game balancing 3. Monetization models 4. Game studio 5. Head of game analytics
Mobile Development,Travel,Travel App Developer,88,$70k-$140k,1. Mobile platforms 2. Location services 3. Travel APIs 4. Travel tech company 5. Lead mobile architect
Mobile Development,Photography,Camera App Developer,87,$65k-$135k,1. Image processing 2. Mobile cameras 3. Photo apps 4. Join photo tech company 5. Senior imaging developer
Mobile Development,Social,Social Media App Developer,90,$75k-$155k,1. Social platforms 2. Real-time features 3. User engagement 4. Social media company 5. Lead mobile social developer
Mobile Development,Health,Health & Fitness App Developer,89,$70k-$145k,1. Health tracking 2. Fitness algorithms 3. User experience 4. Health tech company 5. Lead mHealth developer
UI/UX Design,Gaming,Game UI Designer,94,$70k-$150k,1. Game interfaces 2. User testing 3. Portfolio 4. Game studio 5. Lead UI/UX designer
UI/UX Design,Fashion,Fashion E-commerce Designer,92,$65k-$140k,1. E-commerce design 2. Fashion UX 3. Portfolio 4. Fashion tech 5. Head of design
